investor_ID,is_person
67,False
107,False
136,False
185,False
190,False
212,False
420,False
433,False
453,False
495,False
524,False
531,False
535,False
689,False
744,False
859,False
877,False
1116,False
1272,False
1315,False
1868,False
1906,False
2048,False
2176,False
2278,False
2336,False
2481,False
2482,False
2484,False
2528,False
2639,False
2714,False
2863,False
2919,False
3102,False
3108,False
3150,False
3221,False
3234,False
3299,False
3363,False
3433,False
3586,False
3600,False
3616,False
3862,False
3940,False
3970,False
3980,False
4012,False
4311,False
4446,False
4462,False
4542,False
4560,False
4792,False
4886,False
4890,False
4892,False
4927,False
5257,False
5322,False
5442,False
5469,False
5519,False
5532,False
5761,False
5923,False
5954,False
6052,False
6062,False
6063,False
6079,False
6096,False
6139,False
6153,False
6201,False
6268,False
6397,False
6424,False
6448,False
6482,False
6569,False
6666,False
6858,False
6976,False
7120,False
7234,False
7355,False
7380,False
7611,False
7665,False
7717,False
7741,False
7793,False
7967,False
8233,False
8353,False
8376,False
8399,False
8410,False
8456,False
8634,False
8655,False
8973,False
9351,False
9369,False
9391,False
9466,False
9577,False
9906,False
10001,False
10118,False
10227,False
10251,False
10355,False
10414,False
10496,False
10498,False
10522,False
10531,False
10548,False
10693,False
10865,False
10998,False
11014,False
11099,False
11156,False
11192,False
11291,False
11336,False
11386,False
11596,False
11699,False
11747,False
11934,False
12152,False
12294,False
12296,False
12446,False
12625,False
12721,False
12760,False
12785,False
12811,False
13087,False
13346,False
13449,False
13559,False
13560,False
13808,False
13876,False
13927,False
14101,False
14488,False
14525,False
14582,False
14705,False
14939,False
14954,False
14960,False
15262,False
15324,False
15336,False
15439,False
15469,False
15558,False
15851,False
15878,False
15919,False
15952,False
15969,False
15989,False
16031,False
16061,False
16218,False
16292,False
16295,False
16359,False
16389,False
16462,False
16520,False
16570,False
16734,False
16742,False
17010,False
17218,False
17250,False
17400,False
17416,False
17603,False
17696,False
17830,False
17961,False
18075,False
18109,False
18145,False
18233,False
18247,False
18256,False
18278,False
18501,False
18639,False
18645,False
18665,False
18775,False
18825,False
18963,False
18985,False
18989,False
19110,False
19196,False
19278,False
19299,False
19727,False
19773,False
19842,False
19957,False
20025,False
20085,False
20090,False
20338,False
20340,False
20548,False
20675,False
20802,False
20833,False
21007,False
21027,False
21187,False
21261,False
21298,False
21321,False
21327,False
21348,False
21573,False
21731,False
21741,False
21822,False
21983,False
22025,False
22277,False
22292,False
22342,False
22387,False
22550,False
22551,False
22777,False
22820,False
22843,False
22916,False
23073,False
23118,False
23158,False
23288,False
23321,False
23332,False
23528,False
23591,False
23654,False
23732,False
23797,False
23844,False
23913,False
23966,False
24009,False
24024,False
24131,False
24179,False
24370,False
24516,False
24529,False
24566,False
24687,False
24963,False
24970,False
25150,False
25197,False
25258,False
25259,False
25262,False
25327,False
25488,False
25567,False
25568,False
25569,False
25631,False
25635,False
25709,False
25891,False
25911,False
26011,False
26177,False
26515,False
26565,False
26588,False
26609,False
26811,False
26968,False
26975,False
26976,False
27255,False
27332,False
27366,False
27515,False
27542,False
27666,False
27667,False
27688,False
27704,False
27731,False
27824,False
28266,False
28378,False
28425,False
28521,False
28532,False
28602,False
28673,False
28718,False
28751,False
28759,False
28793,False
28804,False
