acquirer_ID,acquired_ID,date,price,currency
1823,52236,2012-03-06,270000000.0,USD
1823,16035,2009-09-22,130000000.0,USD
1833,54357,2012-03-01,,USD
1838,57091,2009-06-15,,USD
1841,56295,2011-07-01,,USD
1868,3868,2014-04-13,,USD
1868,22436,2013-09-25,,USD
1868,27304,2013-10-22,,USD
1868,44827,2014-06-11,,USD
1868,44910,2011-01-01,,USD
1868,57881,2010-06-24,,USD
1878,6852,2011-03-29,,USD
1917,52386,2014-02-25,,USD
1988,4220,2012-04-20,,USD
1988,51137,2012-06-18,,USD
2030,36481,2010-04-29,70000000.0,USD
2037,56209,2009-08-01,,USD
2060,57254,2012-11-01,,USD
2089,43229,2013-06-27,,USD
2170,51503,2011-12-15,,USD
2170,51743,2013-06-17,25000000.0,USD
2170,55195,2012-10-01,32500000.0,USD
2170,56005,2014-06-13,4900000000.0,USD
2176,49550,2008-08-01,,USD
2176,49581,1999-06-11,,USD
2176,49840,1999-05-01,250000000.0,USD
2176,2291,2010-09-22,,USD
2176,50245,2008-01-31,300000000.0,USD
2176,50617,1998-10-15,,USD
2176,50619,2005-04-04,,USD
2176,50692,2007-05-23,,USD
2176,6733,2010-10-07,,USD
2176,50931,2003-01-01,,USD
2176,9388,2014-04-10,,USD
2176,51531,2005-07-08,,USD
2176,51874,2014-02-06,,USD
2176,51880,2007-05-01,,USD
2176,14294,2013-04-17,26000000.0,USD
2176,52311,1999-04-26,,USD
2176,52363,2008-06-25,,USD
2176,17594,2013-03-29,150000000.0,USD
2176,17615,2013-12-16,,USD
2176,53314,1998-01-01,,USD
2176,53639,2013-01-24,,USD
2176,22917,2012-03-19,775000000.0,USD
2176,54015,2009-04-01,,USD
2176,24230,2013-05-13,,USD
2176,24747,2012-06-15,2500000.0,USD
2176,54568,2005-04-21,,USD
2176,55883,2011-07-28,,USD
2176,34503,2010-11-08,545000000.0,USD
2176,55944,2011-12-28,,USD
2176,56069,2008-10-22,,USD
2176,36233,2014-10-27,,USD
2176,56365,2013-05-13,,USD
2176,37938,2008-08-25,,USD
2176,56523,2006-02-27,,USD
2176,39165,2009-06-16,,USD
2176,42138,2012-01-31,,USD
2176,42417,2013-10-01,,USD
2176,42559,2006-01-01,,USD
2176,57300,2011-07-04,,USD
2176,57513,2010-02-03,,USD
2176,44664,2014-08-25,970000000.0,USD
2176,45167,2012-07-02,,USD
2176,58254,2008-01-18,,USD
2176,58267,2010-06-30,110000000.0,USD
2176,48419,2011-09-08,,USD
2176,48881,2009-07-22,1200000000.0,USD
2179,51160,2011-01-28,,USD
2185,50013,2008-11-11,8320000.0,USD
2206,56376,2009-02-02,,USD
2229,51055,2009-12-01,27000000.0,USD
2269,53384,2000-11-07,,USD
2278,3996,2008-10-02,380000000.0,USD
2278,5348,2011-01-25,1000000000.0,USD
2278,53306,2007-06-05,420000000.0,USD
2278,22377,2012-04-10,315000000.0,USD
2278,54476,2012-01-26,1160000.0,USD
2278,55214,2013-08-25,10500000000.0,USD
2289,6926,2013-11-01,,USD
2291,39631,2008-10-01,,USD
2312,997,2014-06-10,235000000.0,USD
2312,49674,2012-05-08,,USD
2312,17708,2013-09-05,,USD
2312,23131,2014-06-11,150000000.0,USD
2312,56159,2010-01-13,20000000.0,USD
2313,57040,2009-12-22,,USD
2339,50381,2009-10-08,2000000.0,USD
2341,5176,2011-01-01,,USD
2351,50057,2014-06-04,,USD
2355,42900,2011-03-14,265000000.0,USD
2374,12268,2011-11-04,,USD
2405,58073,2013-02-19,,USD
2415,20,2012-10-03,,USD
2415,50100,2012-04-25,100000000.0,USD
2415,15846,2010-09-23,28000000.0,USD
2415,52748,2010-06-14,6700000.0,USD
2415,53238,2010-09-23,27000000.0,USD
2436,55140,2011-10-11,,USD
2486,6415,2013-08-02,6300000.0,USD
2564,15869,2013-12-23,200000000.0,USD
2564,47126,2013-05-28,,USD
2577,11529,2009-06-01,,USD
2577,45566,2010-04-09,,USD
2577,45907,2008-11-10,,USD
2577,46608,2011-02-07,,USD
2582,54329,2014-11-13,2000000.0,USD
2596,53560,2009-02-20,30000000.0,USD
2624,58064,2008-09-22,,USD
2639,342,2010-09-28,65000000.0,USD
2639,950,2013-08-07,405000000.0,USD
2639,49698,2007-05-16,,USD
2639,49733,2004-08-01,435000000.0,USD
2639,49783,2013-06-10,,USD
2639,4627,2008-03-13,850000000.0,USD
2639,50614,1994-12-01,,USD
2639,50766,2008-02-01,125000000.0,USD
2639,7848,2012-11-05,,USD
2639,51285,1997-11-10,,USD
2639,9842,2014-05-06,101000000.0,USD
2639,52115,2009-04-19,,USD
2639,52293,2008-07-01,,USD
2639,52693,2006-08-16,,USD
2639,16637,2013-02-13,,USD
2639,52832,1996-11-25,,USD
2639,17494,2009-06-11,10000000.0,USD
2639,17613,2008-02-03,,USD
2639,17799,2014-01-23,90700000.0,USD
2639,19060,2012-03-15,,USD
2639,53237,2000-09-05,,USD
2639,53254,1998-06-08,407000000.0,USD
2639,53310,1996-08-06,,USD
2639,53380,2001-05-19,28200000.0,USD
2639,53712,1996-02-01,,USD
2639,24037,2006-05-01,,USD
2639,54218,2005-08-04,,USD
2639,54243,1999-12-22,1100000000.0,USD
2639,54375,1995-05-23,,USD
2639,54540,2009-07-15,,USD
2639,54664,1999-05-01,525000000.0,USD
2639,27852,2005-11-03,,USD
2639,54796,1994-12-01,,USD
2639,28804,1998-11-28,4200000000.0,USD
2639,55059,1999-06-01,80000000.0,USD
2639,31010,2011-03-04,,USD
2639,55401,2009-06-11,7000000.0,USD
2639,55480,1998-01-26,,USD
2639,32309,2010-12-16,,USD
2639,33274,2014-05-22,,USD
2639,55909,2000-09-02,,USD
2639,34509,2007-11-07,363000000.0,USD
2639,55990,2010-08-31,,USD
2639,56077,2006-11-06,,USD
2639,56587,2003-11-19,,USD
2639,39347,2008-08-21,,USD
2639,56852,2008-04-15,,USD
2639,56864,1999-06-01,320000000.0,USD
2639,41294,2008-04-01,25000000.0,USD
2639,41712,2007-07-24,275000000.0,USD
2639,57195,2010-09-28,,USD
2639,42743,2011-02-07,315000000.0,USD
2639,42743,2011-02-07,315000000.0,USD
2639,43059,2010-09-28,,USD
2639,43110,2007-05-01,,USD
2639,57652,2006-01-10,,CAD
2639,44926,2010-12-02,,USD
2639,57806,2006-08-14,40000000.0,USD
2639,46060,2014-12-01,50000000.0,USD
2639,58149,2005-10-16,,USD
2639,58196,1999-04-01,,USD
2639,58222,2005-08-07,,USD
2639,58310,2005-08-04,30000000.0,USD
2639,48471,2007-11-11,,USD
2658,56101,2013-10-16,,USD
2690,55838,2012-06-07,,USD
2693,20828,2014-01-08,,USD
2693,57805,2012-01-18,,USD
2693,58207,2012-07-17,,USD
2732,51812,2014-05-28,39000000.0,USD
2761,2998,2011-01-18,,USD
2761,51195,2012-02-09,,USD
2761,29379,2012-11-07,,USD
2761,31471,2011-10-01,,USD
2761,38549,2013-08-22,,USD
2764,58367,2011-08-17,,USD
2768,53674,2012-10-17,,USD
2768,23711,2014-11-10,,USD
2768,40457,2013-09-10,9000000.0,USD
2771,54997,2013-09-19,,USD
2789,54996,2012-08-28,,USD
2790,56102,2013-04-01,,USD
2799,18379,2010-02-23,,USD
2812,53397,2011-03-21,,USD
2812,55525,2011-04-11,,USD
2812,36505,2011-12-09,,USD
2812,43575,2013-09-17,,USD
2819,53609,2006-01-01,,USD
2819,53807,2005-01-01,,USD
2823,50042,2012-08-15,,USD
2823,42509,2014-05-05,,USD
2866,16536,2008-01-24,,USD
2870,54575,2014-10-09,,USD
2876,2804,2014-11-06,,USD
2878,57151,2011-06-07,,USD
2880,43755,2012-06-21,,USD
2881,1820,2014-06-04,,USD
2889,50073,2010-02-02,,USD
2901,27086,2012-01-20,,USD
2907,56088,2012-11-13,,USD
2954,8377,2013-08-12,,USD
2957,53150,2010-08-01,,USD
2957,54576,2010-08-01,,USD
2957,57060,2010-08-01,,USD
2967,44162,2009-01-01,,USD
2997,52264,2010-12-01,583000000.0,USD
3066,23211,2009-02-17,,USD
3074,55145,2014-01-06,33300000.0,EUR
3074,57928,2013-10-14,30000000.0,USD
3225,39186,2013-05-01,,USD
3226,51320,2011-12-21,,USD
3227,49731,2009-07-21,,USD
3258,45173,2014-04-10,,USD
3317,49890,2005-04-11,,USD
3317,50145,2009-01-28,1630000.0,USD
3317,48984,2013-01-07,,USD
3351,45367,2012-04-24,,USD
3378,3960,2011-11-17,,USD
3378,4156,2010-05-10,,USD
3378,26290,2013-05-16,,USD
3378,28835,2007-05-01,,USD
3378,55621,2012-05-23,,USD
3420,56926,2014-07-10,,USD
3447,50170,2014-08-14,,USD
3447,50563,2005-02-01,10000000.0,USD
3447,11821,2000-02-01,500000000.0,USD
3447,52314,2004-03-01,,USD
3447,54017,2008-05-15,100000000.0,USD
3447,55043,2012-07-02,,USD
3447,37527,2009-01-22,25000000.0,USD
3447,57265,2001-09-01,4000000.0,USD
3447,57291,2012-09-01,300000000.0,USD
3511,51429,2011-01-01,,USD
3539,49670,2011-10-03,,USD
3539,52570,2014-07-08,4500000.0,USD
3539,53990,2011-12-14,,USD
3539,31862,2012-07-05,,USD
3539,36257,2014-08-11,1700000.0,USD
3552,51501,2008-12-09,,USD
3561,40742,2006-03-05,,USD
3586,49838,2013-01-21,,USD
3600,9401,2005-09-15,,USD
3616,50530,2010-09-29,,USD
3616,51838,2014-09-12,7500000.0,USD
3616,19039,2012-03-07,,USD
